Hospital_ID,sbar,std,shat,Numerator,p_lb95,p_ub95,p_lb80,p_ub80,lclm95,uclm95,lclm80,uclm80,pred100,good,goodp4p,Short_Name,ord,id,total,Avg_2014
2,0.116788868,0.013817759,0.115378338,56,0.09166093,0.147065172,0.099204101,0.134993651,9.166093002,14.70651718,9.920410109,13.49936509,11.5378338,2,1,UM,19,2,547,20.38
3,0.167582617,0.016991408,0.167792531,76,0.13490448,0.199685385,0.145175281,0.190434578,13.49044804,19.96853853,14.51752811,19.04345778,16.77925307,3,1,SJ-AA,45,3,442,20.38
8,0.094367332,0.013151075,0.093605458,31,0.06909565,0.120132798,0.078880205,0.11155467,6.909565026,12.01327985,7.888020475,11.15546697,9.36054579,1,1,Chelsea,13,1,367,20.38
9,0.114425168,0.01392803,0.112509471,51,0.089612922,0.144732196,0.098204785,0.133489739,8.961292207,14.47321955,9.820478504,13.34897389,11.25094708,2,1,Prov,23,2,424,20.38
10,0.148006068,0.022492181,0.145465521,27,0.110325855,0.190639639,0.121904125,0.179657348,11.03258554,19.06396394,12.19041251,17.96573476,14.54655211,2,1,Critten,35,2,216,20.38
11,0.105605946,0.015291829,0.104442678,31,0.077370529,0.138807529,0.086496219,0.125354704,7.73705285,13.88075288,8.649621945,12.5354704,10.44426775,2,1,SJ-Oak,22,2,266,20.38
12,0.109891525,0.020440085,0.108117842,10,0.073165977,0.151979435,0.085728204,0.135981402,7.316597733,15.1979435,8.572820404,13.59814017,10.81178418,2,1,Cadillac,36,2,88,20.38
14,0.141549113,0.016700449,0.139510808,51,0.111102304,0.177805791,0.121845011,0.164985938,11.11023042,17.78057915,12.18450109,16.4985938,13.95108077,2,1,Hackley,31,2,305,20.38
16,0.094540919,0.011256146,0.093276169,80,0.076163146,0.116565774,0.081648703,0.110494226,7.616314621,11.65657737,8.164870255,11.0494226,9.327616878,1,1,Spectrum,2,1,894,20.38
17,0.145274558,0.016568552,0.144662098,48,0.11775358,0.176939374,0.1256735,0.16542188,11.77535805,17.69393738,12.56734998,16.54218805,14.4662098,3,1,Sparrow,41,3,316,20.38
18,0.102875999,0.013133193,0.102296181,56,0.079413933,0.130942543,0.086414105,0.119791579,7.941393298,13.09425429,8.641410543,11.97915794,10.22961807,1,1,MC-Lans,7,1,595,20.38
20,0.162568728,0.030797638,0.159679449,11,0.107793829,0.23171759,0.125468176,0.201522432,10.77938292,23.17175904,12.54681764,20.1522432,15.96794486,3,2,MC-Oak,48,3,64,20.38
21,0.096709189,0.015091964,0.096340871,29,0.069791739,0.1306553,0.077257135,0.116140317,6.9791739,13.06553002,7.725713469,11.61403166,9.634087051,1,1,Borgess,15,1,318,20.38
22,0.074864194,0.014738796,0.073514972,9,0.048712813,0.105946625,0.058472946,0.095056387,4.871281266,10.59466247,5.847294625,9.505638734,7.35149725,1,1,MC-Mac,6,1,156,20.38
23,0.122093662,0.010658428,0.121356541,191,0.102575227,0.145301217,0.10964062,0.135752553,10.25752266,14.53012167,10.96406195,13.57525535,12.13565407,2,1,Beau-RO,39,2,1582,20.38
24,0.158475192,0.015369794,0.158998568,92,0.130134617,0.189188073,0.137552379,0.17763231,13.01346174,18.91880733,13.75523792,17.76323095,15.89985677,3,1,Beau-Troy,54,3,464,20.38
25,0.099136624,0.015497481,0.098461086,24,0.074118246,0.136559025,0.080124056,0.118523225,7.411824577,13.6559025,8.012405585,11.85232252,9.846108642,1,1,Beau-GP,16,1,220,20.38
26,0.147874613,0.020060498,0.145158417,31,0.111915772,0.197407302,0.123082746,0.176138017,11.19157725,19.74073022,12.30827458,17.61380174,14.5158417,2,1,MC-PH,26,2,201,20.38
29,0.062908792,0.011133291,0.061910865,14,0.042332933,0.08807919,0.04863674,0.077178763,4.233293271,8.807918955,4.863673962,7.717876337,6.191086524,1,1,Bronson,14,1,272,20.38
